03.01.2020,00:00:00,61W,8 000.00р.,Онлайн перевод,
06.01.2020,00:00:00,104W,2 000.00р.,Онлайн перевод,
09.01.2020,00:00:00,51W,3 700.00р.,Онлайн перевод,
13.01.2020,00:00:00,M33w,1 900.00р.,Квитанция Кубань-Кредит,
14.01.2020,00:00:00,94W,3 500.00р.,Онлайн перевод,
15.01.2020,00:00:00,113w,6 603.15р.,Квитанция Кубань-Кредит,
17.01.2020,00:00:00,76W,2 500.00р.,Онлайн перевод,
20.01.2020,00:00:00,ГР4w,800.00р.,Квитанция Кубань-Кредит,
20.01.2020,00:00:00,65W,1 100.00р.,Онлайн перевод,
22.01.2020,00:00:00,30W,5 000.00р.,Квитанция Кубань-Кредит,
27.01.2020,00:00:00,10W,1 359.10р.,Онлайн перевод,
27.01.2020,00:00:00,61W,8 000.00р.,Онлайн перевод,
30.01.2020,00:00:00,93W,1 412.50р.,Квитанция Кубань-Кредит,
